Nom_Barri,res_viajes,res_distancia,res_pagerank,tur_viajes,tur_distancia,cluster_kmeans,num_paradas_tmb,in_total_viajes,presion_tmb
Porta,9873136,3.46262225117911,0.013231231162519097,642880.0,3.7523231445522427,0.0,28.0,10516016.0,375572.0
Sants - Badal,4375755,3.345696702449551,0.0061836892782492995,784250.0,2.8966190027070393,0.0,22.0,5160005.0,234545.68181818182
Vallbona,169625,4.243686852040296,0.0022496364663562576,2565.0,5.810729324466542,3.0,23.0,172190.0,7486.521739130435
el Fort Pienc,17327363,2.675031917055397,0.019093038873808317,8956962.0,2.038699795812523,4.0,48.0,26284325.0,547590.1041666666
Can Baró,1823578,2.5010647755959896,0.003882756122594388,645230.0,2.000729059008266,0.0,20.0,2468808.0,123440.4
el Raval,21514244,2.77556913958821,0.02273955640256905,23306942.0,1.9571069064783104,4.0,54.0,44821186.0,830021.9629629629
el Baix Guinardó,10650717,2.7227954263373775,0.012792250615313428,2322622.0,2.1168112292699006,0.0,28.0,12973339.0,463333.53571428574
Vilapicina i la Torre Llobeta,8315489,3.269183524799673,0.010992818071891156,343020.0,3.4110821861376897,0.0,35.0,8658509.0,247385.9714285714
Sant Gervasi - Galvany,36664048,2.622459707569694,0.037805267447712024,7998459.0,2.4837997439339126,0.0,100.0,44662507.0,446625.07
el Camp d'en Grassot i Gràcia Nova,10879828,2.5710544593541136,0.01283614320685141,1758565.0,2.0599735089024986,0.0,38.0,12638393.0,332589.2894736842
Pedralbes,12718535,3.8300432936974476,0.014287233704418941,2703997.0,3.646487630634149,0.0,77.0,15422532.0,200292.62337662338
el Clot,10011108,2.8944227120894435,0.012169680636372101,1531993.0,2.62866438240897,0.0,36.0,11543101.0,320641.69444444444
la Verneda i la Pau,9289196,3.6884117022160954,0.01171614273174074,629603.0,3.6613584013732656,0.0,40.0,9918799.0,247969.975
la Marina de Port,10193130,3.662497657477829,0.011942060889667096,1436830.0,3.318001696987584,0.0,58.0,11629960.0,200516.55172413794
la Vall d'Hebron,2749497,3.454343653616479,0.005006460545454991,161648.0,3.686136689569438,0.0,31.0,2911145.0,93907.90322580645
el Poble-sec,18145765,3.540044544143823,0.019473812959038973,15158680.0,3.009642229884806,4.0,143.0,33304445.0,232898.21678321678
"Sant Pere, Santa Caterina i la Ribera",14261518,2.7583990110028016,0.0159083002640104,23562734.0,1.8333728898164887,4.0,46.0,37824252.0,822266.3478260869
el Barri Gòtic,19006387,2.888514482059497,0.02052711834990699,41115661.0,1.9760763284318814,4.0,43.0,60122048.0,1398187.1627906978
Vallcarca i els Penitents,14294079,3.04521113570672,0.016537365054005312,2805395.0,2.9850363453511584,0.0,74.0,17099474.0,231073.97297297296
Canyelles,1170677,4.141500157557858,0.0033219426201177025,580.0,5.050039722763753,3.0,26.0,1171257.0,45048.346153846156
Ciutat Meridiana,2395542,4.646150097871607,0.0049162628504914535,0.0,0.0,0.0,49.0,2395542.0,48888.61224489796
Diagonal Mar i el Front Marítim del Poblenou,6787605,3.6596380994959126,0.008941182824751651,3684232.0,3.4879796144741535,0.0,48.0,10471837.0,218163.27083333334
la Vila de Gràcia,32892428,2.5441806526908812,0.03458289786932825,13366901.0,2.197714178230071,4.0,52.0,46259329.0,889602.4807692308
el Congrés i els Indians,8115715,3.0432860536862174,0.01073280757173714,532694.0,3.245783453554825,0.0,19.0,8648409.0,455179.4210526316
el Bon Pastor,8633045,3.85896119077089,0.011931070410670461,998205.0,4.889700124110341,2.0,51.0,9631250.0,188848.03921568627
la Teixonera,5187057,3.2690241676547367,0.007422178112103459,282.0,1.6052740629099134,3.0,24.0,5187339.0,216139.125
"Vallvidrera, el Tibidabo i les Planes",2166414,5.167164874395439,0.004077913041792978,798674.0,5.378672774377149,2.0,0.0,2965088.0,0.0
la Trinitat Vella,2704595,4.763767676805208,0.005089751407927209,73748.0,5.517082706947996,2.0,30.0,2778343.0,92611.43333333333
la Vila Olímpica del Poblenou,8521948,3.0302616150647648,0.01046201828843497,7744552.0,2.3807003859113354,0.0,37.0,16266500.0,439635.13513513515
el Parc i la Llacuna del Poblenou,15503902,2.868937452704742,0.01764544081229146,7630815.0,2.2875306384060528,0.0,54.0,23134717.0,428420.68518518517
el Turó de la Peira,3328480,3.3908936248826014,0.005654394639267505,86936.0,3.54628624331408,0.0,22.0,3415416.0,155246.18181818182
Montbau,8774656,3.954289468904442,0.011915536467098939,764141.0,4.117260799467549,2.0,30.0,9538797.0,317959.9
Sants,24209581,3.5507278599815972,0.025680277218228006,10961598.0,3.2878768142812214,4.0,73.0,35171179.0,481796.9726027397
la Prosperitat,3761453,3.8353482556102585,0.006454347448090054,81740.0,4.378879533367441,2.0,22.0,3843193.0,174690.5909090909
Horta,12219395,4.128207395823351,0.015506395679860114,892692.0,4.484329119767801,2.0,81.0,13112087.0,161877.61728395062
el Besòs i el Maresme,6060161,3.946510868167291,0.008223682430636089,3427349.0,4.92004383508492,2.0,55.0,9487510.0,172500.18181818182
la Dreta de l'Eixample,86851394,2.856647570147929,0.09011946256002625,69644415.0,2.2411853547797986,1.0,184.0,156495809.0,850520.7010869565
Navas,7811761,3.149250848976947,0.009975527809958069,254280.0,2.9268167878196363,0.0,21.0,8066041.0,384097.1904761905
la Marina del Prat Vermell,10216184,6.538922061743177,0.012427770310209255,8613657.0,5.875319812204378,2.0,127.0,18829841.0,148266.46456692912
les Corts,26713794,2.8315171759418285,0.027750605314046398,6008465.0,2.652875855466416,0.0,78.0,32722259.0,419516.141025641
la Sagrera,11081203,3.2747177174153377,0.013822498510531975,885655.0,3.5152126164813406,0.0,42.0,11966858.0,284925.1904761905
la Trinitat Nova,2436461,4.115392600704703,0.0049399306103723,202826.0,5.438078779419252,2.0,43.0,2639287.0,61378.767441860466
el Guinardó,15727568,2.9411454737456024,0.01836330683662886,1652067.0,2.9270901430199463,0.0,82.0,17379635.0,211946.76829268291
Sarrià,16264340,3.3429513770629913,0.01789651940919703,2397984.0,3.282211503258508,0.0,85.0,18662324.0,219556.75294117647
